 MRA_Host134 , ID: 133 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 134 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host135 , ID: 134 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 135 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host136 , ID: 135 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 136 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host137 , ID: 136 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 137 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host138 , ID: 137 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 138 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host139 , ID: 138 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 139 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host140 , ID: 139 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 140 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host141 , ID: 140 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 141 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host142 , ID: 141 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 142 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host143 , ID: 142 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 143 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host144 , ID: 143 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 144 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host145 , ID: 144 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 145 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host146 , ID: 145 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 146 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host147 , ID: 146 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 147 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host148 , ID: 147 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 148 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host149 , ID: 148 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 149 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host150 , ID: 149 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 150 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host151 , ID: 150 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 151 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host152 , ID: 151 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 152 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host153 , ID: 152 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 153 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host154 , ID: 153 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 154 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host155 , ID: 154 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 155 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host156 , ID: 155 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 156 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host157 , ID: 156 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 157 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host158 , ID: 157 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 158 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host159 , ID: 158 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 159 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host160 , ID: 159 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 160 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host161 , ID: 160 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 161 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host162 , ID: 161 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 162 	 Pre_ex: 208 	 Tem_Cor: 624
